Aktion \ zu,Bootshine,True Strike,Snap Punch,Twin Snakes,Arm of the Destroyer,Mantra,Demolish,Perfect Balance,Rockbreaker,Dragon Kick,Tornado Kick,Elixir Field,the Forbidden Chakra,Form Shift,Riddle of Earth,Riddle of Fire,Brotherhood,Four-point Fury,Enlightenment,Six-sided Star,Steel Peak,Thunderclap,Howling Fist,Masterful Blitz,Celestial Revolution,Riddle of Wind,Shadow of the Destroyer,Rising Phoenix,Phantom Rush,Flint Strike,Steeled Meditation,Inspirited Meditation,Forbidden Meditation,Enlightened Meditation,Earth's Reply,Leaping Opo,Rising Raptor,Pouncing Coeurl,Elixir Burst,Wind's Reply,Fire's Reply,Sprint,Second Wind,Bloodbath,True North,Arm's Length,Feint,Leg Sweep
Shadow of the Destroyer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rising Phoenix,,,,,,,,,,,,,,,,r,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Phantom Rush,,,,,,,,,,,,,,,,r,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Flint Strike,,,,,,,,,,,,,,,,r,,,,,,,,,,,,U,,,,,,,,,,,,,,,,,,,,
Steeled Meditation,,,,,,,,g,,,,,,,,,,,,,,,,,,,,,,,,,Ur,,,,,,,,,,,,,,,
Inspirited Meditation,,,,,,,,g,,,,,,,,,,,,,,,,,,,,,,,,,,U,,,,,,,,,,,,,,
Forbidden Meditation,,,,,,,,g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Enlightened Meditation,,,,,,,,g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Earth's Reply,,,,,,,,,,,,,,,Ss,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Leaping Opo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rising Raptor,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pouncing Coeurl,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Elixir Burst,,,,,,,,,,,,,,,,r,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wind's Reply,,,,,,,,,,,,,,,,,,,,,,,,,,s,,,,,,,,,,,,,,,,,,,,,,
Fire's Reply,r,,,,,,,,,r,,,,,,s,,,,,,,,,,,,,,,,,,,,r,,,,,,,,,,,,
Sprint,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Second Wind,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bloodbath,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
True North,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Arm's Length,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Feint,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Leg Sweep,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
