Aktion \ zu,Dosis,Diagnosis,Kardia,Prognosis,Egeiro,Physis,Phlegma,Eukrasia,Eukrasian Diagnosis,Eukrasian Prognosis,Eukrasian Dosis,Soteria,Icarus,Druochole,Dyskrasia,Kerachole,Ixochole,Zoe,Pepsis,Physis II,Taurochole,Toxikon,Haima,Dosis II,Phlegma II,Eukrasian Dosis II,Rhizomata,Holos,Panhaima,Dosis III,Phlegma III,Eukrasian Dosis III,Dyskrasia II,Toxikon II,Krasis,Pneuma,Eukrasian Dyskrasia,Psyche,Eukrasian Prognosis II,Philosophia,Sprint,Surecast,Swiftcast,Lucid Dreaming,Esuna,Rescue,Repose
Dosis III,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,K,,,,,,,,,,,,,,,
Phlegma III,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Eukrasian Dosis III,,,,,,,,S,,,,,,,r,,,,,,,,,,,,,,,,,,,,,,r,,,,,,,,,,
Dyskrasia II,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,K,,,,,,,,,,
Toxikon II,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Krasis,,r,,r,,,,,r,,,,,,,,,,,,,,,,,,,,,,,,,,,r,,,,,,,,,,,
Pneuma,,,,,,,,,,,,,,,r,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Eukrasian Dyskrasia,,,,,,,,S,,,r,,,,r,,,,,,,,,,,r,,,,,,r,,,,,,,,,,,,,,,
Psyche,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Eukrasian Prognosis II,,,,,,,,S,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Philosophia,,r,,r,,,,,,r,,,,,,,,,,,,,,,,,,,,,,,,,,r,,,r,,,,,,,,
Sprint,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Surecast,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Swiftcast,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lucid Dreaming,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Esuna,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rescue,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Repose,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
