Aktion \ zu,Hakaze,Jinpu,Shifu,Yukikaze,Gekko,Kasha,Fuga,Mangetsu,Oka,Enpi,Midare Setsugekka,Tenka Goken,Higanbana,Hissatsu: Shinten,Hissatsu: Kyuten,Hissatsu: Gyoten,Hissatsu: Yaten,Hagakure,Hissatsu: Guren,Meditate,Third Eye,Meikyo Shisui,Iaijutsu,Hissatsu: Senei,Ikishoten,Tsubame-gaeshi,Kaeshi: Goken,Kaeshi: Setsugekka,Shoha,Fuko,Ogi Namikiri,Kaeshi: Namikiri,Tengentsu,Gyofu,Zanshin,Tendo Goken,Tendo Setsugekka,Tendo Kaeshi Goken,Tendo Kaeshi Setsugekka,Sprint,Second Wind,Bloodbath,True North,Arm's Length,Feint,Leg Sweep
Tsubame-gaeshi,,,,,,,,,,,,,,,,,,,,,,,,,,,K,K,,,,,,,,S,S,K,K,,,,,,,
Kaeshi: Goken,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kaeshi: Setsugekka,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,s,,,,,,,,,
Shoha,,,,,,,,,,,,,,,,,,,,,,,,,r,,,,,,,,,,,,,,g,,,,,,,
Fuko,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ogi Namikiri,,,,,,,,,,,,,,,,,,,,,,,,,s,,,,,,,K,,,,,,,,,,,,,,
Kaeshi: Namikiri,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tengentsu,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gyofu,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Zanshin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,g,,,,,,,
Tendo Goken,,,,,,,,,,,,,,,,,,,,,,s,,,,,,,,,,,,,,,,,,,,,,,,
Tendo Setsugekka,,,,,,,,,,,,,,,,,,,,,,s,,,,,,,,,,,,,,,,,,,,,,,,
Tendo Kaeshi Goken,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tendo Kaeshi Setsugekka,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sprint,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Second Wind,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bloodbath,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
True North,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Arm's Length,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Feint,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Leg Sweep,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
