Aktion \ zu,Benefic,Aspected Benefic,Malefic,Malefic II,Combust,Helios,Aspected Helios,Ascend,Lightspeed,Combust II,Benefic II,Synastry,Collective Unconscious,Essential Dignity,Gravity,Earthly Star,Malefic III,Lord of Crowns,Lady of Crowns,Stellar Detonation,Divination,Celestial Opposition,Combust III,Malefic IV,Celestial Intersection,Horoscope,Horoscope,Neutral Sect,Fall Malefic,Gravity II,Exaltation,Macrocosmos,Microcosmos,Astral Draw,Umbral Draw,Play I,Play II,Play III,Minor Arcana,the Balance,the Arrow,the Spire,the Spear,the Bole,the Ewer,Oracle,Helios Conjunction,Sun Sign,Sprint,Surecast,Swiftcast,Lucid Dreaming,Esuna,Rescue,Repose
Neutral Sect,,r,,,,,r,,,,,,g,,,,,,,,,,,,,,,,,,,g,,,,,,,,,,,,,,,r,,,,,,,,
Fall Malefic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gravity II,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Exaltation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Macrocosmos,,,,,,,,,,,,,g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Microcosmos,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,s,,,,,,,,,,,,,,,,,,,,,,,
Astral Draw,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AK,,,,,,,,,,,,,,,,,,,,
Umbral Draw,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,A,,,,,,,,,,,,,,,,,,,,,
Play I,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,K,,,K,,,,,,,,,,,,
Play II,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,K,,,K,,,,,,,,,,,
Play III,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,K,,,K,,,,,,,,,,
Minor Arcana,,,,,,,,,,,,,,,,,,K,K,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
the Balance,,,,,,,,,,,,,,,,,,,,,r,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
the Arrow,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,r,,,,,,,,,,,,,,,,,,,,
the Spire,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,r,,,,,,,,,,,,,,,,,,,,
the Spear,,,,,,,,,,,,,,,,,,,,,r,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
the Bole,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,r,,,,,,,,,,,,,,,,,,,,,
the Ewer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,r,,,,,,,,,,,,,,,,,,,,,
Oracle,,,,,,,,,,,,,,,,,,,,,s,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Helios Conjunction,,,,,,,,,,,,,g,,,,,,,,,,,,,,,r,,,,g,,,,,,,,,,,,,,,,,,,,,,,
Sun Sign,,,,,,,,,,,,,,,,,,,,,,,,,,,,s,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sprint,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Surecast,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Swiftcast,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lucid Dreaming,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Esuna,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rescue,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Repose,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
