Aktion \ zu,Aetherflow,Energy Drain,Resurrection,Adloquium,Succor,Sacred Soil,Lustrate,Physick,Embrace,Indomitability,Broil,Deployment Tactics,Emergency Tactics,Dissipation,Excogitation,Broil II,Chain Stratagem,Aetherpact,Dissolve Union,Whispering Dawn,Fey Illumination,Art of War,Biolysis,Broil III,Recitation,Fey Blessing,Summon Seraph,Consolation,Seraphic Veil,Summon Eos,Bio,Bio II,Ruin,Ruin II,Broil IV,Art of War II,Protraction,Expedient,Baneful Impaction,Concitation,Seraphism,Manifestation,Accession,Sprint,Surecast,Swiftcast,Lucid Dreaming,Esuna,Rescue,Repose
Protraction,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Expedient,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Baneful Impaction,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Concitation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,K,,,,,,,
Seraphism,,,,,,,,,,,,,,,,,,,,,,,,,,,r,,,,,,,,,,,,,,,,,,,,,,,
Manifestation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,S,,,,,,,,,
Accession,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,S,,,,,,,,,
Sprint,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Surecast,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Swiftcast,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lucid Dreaming,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Esuna,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rescue,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Repose,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
