Aktion \ zu,Steel Fangs,Reaving Fangs,Hunter's Sting,Swiftskin's Sting,Flanksting Strike,Flanksbane Fang,Hindsting Strike,Hindsbane Fang,Steel Maw,Reaving Maw,Hunter's Bite,Swiftskin's Bite,Jagged Maw,Bloodied Maw,Vicewinder,Hunter's Coil,Swiftskin's Coil,Vicepit,Hunter's Den,Swiftskin's Den,Reawaken,First Generation,Second Generation,Third Generation,Fourth Generation,Ouroboros,Writhing Snap,Uncoiled Fury,Death Rattle,Last Lash,Twinfang Bite,Twinblood Bite,Twinfang Thresh,Twinblood Thresh,First Legacy,Second Legacy,Third Legacy,Fourth Legacy,Uncoiled Twinfang,Uncoiled Twinblood,Slither,Serpent's Ire,Serpent's Tail,Twinfang,Twinblood,Sprint,Second Wind,Bloodbath,True North,Arm's Length,Feint,Leg Sweep
Jagged Maw,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bloodied Maw,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Vicewinder,,,,,,,,,,,,,,,,g,g,A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hunter's Coil,,,,,,,,,,,,,,,,,,,,,,,,K,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Swiftskin's Coil,,,,,,,,,,,,,,,,,,,,,,,,,K,,,,,,,,,,,,,,,,,,,,,,,,,,,
Vicepit,,,,,,,,,,,,,,,A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hunter's Den,,,,,,,,,,,,,,,,,,,,,,,,K,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Swiftskin's Den,,,,,,,,,,,,,,,,,,,,,,,,,K,,,,,,,,,,,,,,,,,,,,,,,,,,,
Reawaken,,,,,,,,,,,,,,,,,,,,,,,,,,K,,,,,,,,,,,,,,,,r,,,,,,,,,,
First Generation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Second Generation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Third Generation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fourth Generation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ouroboros,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Writhing Snap,,,,,,,,,,,,,,,,g,g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Uncoiled Fury,,,,,,,,,,,,,,,,g,g,,,,,,,,,,,,,,,,,,,,,,,,,r,,,,,,,,,,
Death Rattle,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Last Lash,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Twinfang Bite,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Twinblood Bite,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Twinfang Thresh,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Twinblood Thresh,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
First Legacy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Second Legacy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Third Legacy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fourth Legacy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Uncoiled Twinfang,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Uncoiled Twinblood,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Slither,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Serpent's Ire,,,,,,,,,,,,,,,,,,,,,r,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,r,
Serpent's Tail,,,,,,,,,,,,,,,,,,,,,,,,,,,,,K,K,,,,,K,K,K,K,,,,,,,,,,,,,,
Twinfang,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,K,,K,,,,,,K,,,,,,,,,,,,,
Twinblood,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,K,,K,,,,,,K,,,,,,,,,,,,
Sprint,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Second Wind,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bloodbath,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
True North,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Arm's Length,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Feint,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,r,,,,,,,,,,
Leg Sweep,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
