Aktion \ zu,Fire in Red,Aero in Green,Water in Blue,Blizzard in Cyan,Stone in Yellow,Thunder in Magenta,Fire II in Red,Aero II in Green,Water II in Blue,Blizzard II in Cyan,Stone II in Yellow,Thunder II in Magenta,Holy in White,Comet in Black,Pom Motif,Wing Motif,Claw Motif,Maw Motif,Hammer Motif,Starry Sky Motif,Pom Muse,Winged Muse,Clawed Muse,Fanged Muse,Striking Muse,Starry Muse,Mog of the Ages,Retribution of the Madeen,Hammer Stamp,Hammer Brush,Polishing Hammer,Star Prism,Subtractive Palette,Smudge,Tempera Coat,Tempera Grassa,Rainbow Drip,Creature Motif,Weapon Motif,Landscape Motif,Living Muse,Steel Muse,Scenic Muse,Sprint,Surecast,Addle,Swiftcast,Lucid Dreaming,Sleep
Comet in Black,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pom Motif,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,r,,,r,,,,,,,,
Wing Motif,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,r,,,r,,,,,,,,
Claw Motif,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,r,,,r,,,,,,,,
Maw Motif,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,r,,,r,,,,,,,,
Hammer Motif,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,r,,,r,,,,,,,
Starry Sky Motif,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,r,,,,,,
Pom Muse,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Winged Muse,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Clawed Muse,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fanged Muse,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Striking Muse,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,r,,,,,,,,,,,,
Starry Muse,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mog of the Ages,,,,,,,,,,,,,,,,,,,,,,,,,,,,K,,,,,,,,,,,,,,,,,,,,,
Retribution of the Madeen,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hammer Stamp,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,K,,,,,,,,,,,,,,,,,,,
Hammer Brush,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Cc,,K,,,,,,,,,,,,,,,,,,
Polishing Hammer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Cc,,,,,,,,,,,,,,,,,,,
Star Prism,,,,,,,,,,,,,,,,,,,,,,,,,,s,,,,,,,,,,,,,,,,,,,,,,,
Subtractive Palette,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Smudge,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tempera Coat,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tempera Grassa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Ss,,,,,,,,,,,,,,
Rainbow Drip,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Creature Motif,,,,,,,,,,,,,,,K,K,K,K,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Weapon Motif,,,,,,,,,,,,,,,,,,,K,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Landscape Motif,,,,,,,,,,,,,,,,,,,,K,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Living Muse,,,,,,,,,,,,,,,,,,,,,K,K,K,K,,,,,,,,,,,,,,,,,,,,,,,,,
Steel Muse,,,,,,,,,,,,,,,,,,,,,,,,,K,,,,,,,,,,,,,,,,,,,,,,,,
Scenic Muse,,,,,,,,,,,,,,,,,,,,,,,,,,K,,,,,,,,,,,,,,,,,,,,,,,
Sprint,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Surecast,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Addle,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Swiftcast,,,,,,,,,,,,,,,r,r,r,r,r,r,,,,,,,,,,,,,,,,,r,,,,,,,,,,,,
Lucid Dreaming,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sleep,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
