Aktion \ zu,Keen Edge,No Mercy,Brutal Shell,Camouflage,Demon Slice,Royal Guard,Lightning Shot,Danger Zone,Solid Barrel,Gnashing Fang,Savage Claw,Nebula,Demon Slaughter,Wicked Talon,Aurora,Superbolide,Sonic Break,Continuation,Jugular Rip,Abdomen Tear,Eye Gouge,Bow Shock,Heart of Light,Heart of Stone,Burst Strike,Fated Circle,Bloodfest,Blasting Zone,Heart of Corundum,Hypervelocity,Double Down,Release Royal Guard,Trajectory,Great Nebula,Fated Brand,Reign of Beasts,Noble Blood,Lion Heart,Sprint,Rampart,Provoke,Reprisal,Shirk,Interject,Low Blow,Arm's Length
Jugular Rip,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Abdomen Tear,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Eye Gouge,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bow Shock,,g,,,,,,g,,g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Heart of Light,,g,,,,,,,,g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Heart of Stone,,g,,,,,,,,g,,,,,,,,,,,,,,,,,,,Ur,,,,,,,,,,,,,,,,,
Burst Strike,,g,,,,,,,,,,,,,,,,,,,,,,,,,g,,,,,,,,,,,,,,,,,,,
Fated Circle,g,g,g,,,,,,,g,,,,,,,,,,,,,,,,,g,,,,,,,,,,,,,,,,,,,
Bloodfest,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Blasting Zone,,gr,,,g,,,g,,g,,,,,,,g,,,,,,,,,,r,,,,r,,,,,,,,,,,,,,,
Heart of Corundum,,g,,,,,,,,g,,,,,,,,,,,,,,r,,,,,,,,,,,,,,,,,,,,,,
Hypervelocity,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Double Down,,g,,,,,,,,,,,,,,,,,,,,,,,,,g,,,,,,,,,,,,,,,,,,,
Release Royal Guard,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Trajectory,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Great Nebula,,g,,,,,,,,g,,r,,,,,,,,,,,,,,,,,,,,,,,,,,,,r,,,,,,
Fated Brand,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Reign of Beasts,,g,,,,,,,,r,,,,,,,,,,,,,,,,,Sgs,,,,r,,,,,,K,,,,,,,,,
Noble Blood,,g,,,,,,,,r,,,,,,,,,,,,,,,,,g,,,,r,,,,,C,,K,,,,,,,,
Lion Heart,,g,,,,,,,,r,,,,,,,,,,,,,,,,,g,,,,r,,,,,,C,,,,,,,,,
Sprint,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rampart,,g,,,,,,,,g,,r,,,,,,,,,,,,,,,,,,,,,,r,,,,,,,,,,,,
Provoke,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Reprisal,,g,,,,,,,,g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Shirk,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Interject,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Low Blow,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Arm's Length,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
